,left,front-left,front,front-right,right,back-right,back,back-left,leftMotor,rightMotor
0,555,221,0,196,896,272,984,591,50,50
1,511,224,6,227,920,278,610,410,50,50
2,557,190,24,175,941,235,391,332,50,50
3,591,195,6,218,845,176,235,251,50,50
4,636,195,21,155,836,218,173,209,50,50
5,618,222,30,165,808,183,112,169,50,50
6,656,223,28,143,791,198,102,196,50,50
7,663,243,11,223,726,166,52,200,50,50
8,763,277,10,52,648,112,55,201,50,50
9,805,288,19,142,598,143,98,217,50,50
10,873,355,38,153,579,122,48,246,50,50
11,1083,403,119,107,481,120,47,230,50,50
12,1473,517,63,119,511,110,25,259,50,50
13,1465,565,88,150,476,112,30,251,50,50
14,1653,638,136,192,423,100,23,302,50,50
15,1832,706,288,254,360,95,45,453,50,50
16,2539,3599,3845,2220,308,37,34,1307,50,50
17,2581,3750,2684,3758,372,76,57,780,50,50
18,2623,3758,2139,3807,390,48,40,845,50,50
19,2630,3787,1896,3759,321,73,36,831,50,50
20,2587,3787,1790,3811,390,85,47,874,50,50
21,2623,3721,1681,3765,390,105,27,725,50,50
22,2614,3501,1623,3787,387,104,31,678,50,50
23,2633,3599,1565,3774,460,71,28,753,50,50
24,2570,3654,1576,3756,349,0,27,748,50,50
25,2598,3661,1624,3762,383,64,18,764,50,50
26,2631,3610,1549,3755,308,62,81,740,50,50
27,2713,3582,1590,3774,390,93,39,733,50,50
28,2711,3774,1902,3830,331,65,19,858,50,50
29,2703,3770,1792,3758,348,67,34,822,50,50
,left,front-left,front,front-right,right,back-right,back,back-left,leftMotor,rightMotor
0,564,177,0,128,894,347,1117,584,50,50
1,608,192,0,159,846,265,662,395,50,50
2,661,244,16,183,794,217,315,293,50,50
3,695,239,30,136,741,247,148,225,50,50
4,736,247,6,179,656,183,121,203,50,50
5,711,257,30,147,666,154,105,209,50,50
6,829,310,0,150,611,149,72,197,50,50
7,867,367,28,124,523,124,56,214,50,50
8,1095,392,45,119,486,126,49,259,50,50
9,1190,563,40,111,463,118,1,272,50,50
10,1393,631,47,115,437,119,44,298,50,50
11,1688,726,67,76,361,95,37,323,50,50
12,2033,854,88,48,380,97,33,339,50,50
13,2385,1045,166,251,383,86,42,404,50,50
14,2823,1222,351,288,350,72,9,640,50,50
15,3365,1656,2648,1933,312,85,4,757,50,50
16,3792,3378,1531,3777,349,17,25,1156,50,50
17,3655,3770,1780,3754,407,98,27,1053,50,50
18,3600,3694,1809,3763,291,35,13,1168,50,50
19,3607,3720,1676,3767,416,33,21,1169,50,50
20,3638,3681,1619,3823,356,64,37,1007,50,50
21,3620,3692,1687,3780,304,67,28,1046,50,50
22,3660,3630,1564,3827,385,55,11,1034,50,50
23,3631,3524,1622,3771,340,72,15,1354,50,50
24,3719,3752,1876,3824,303,35,32,1206,50,50
25,3718,3775,1746,3761,241,55,28,1117,50,50
26,3728,3759,1832,3760,301,46,49,1307,50,50
27,3729,3761,1820,3782,340,47,43,1233,50,50
28,3711,3749,1729,3768,321,75,6,1107,50,50
29,3718,3764,1942,3760,347,94,35,1215,50,50
